Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.21-10.42.0.105-9999-38988-6,10.42.0.105,38988,10.42.0.21,9999,6,10/03/2025 20:28,101151,4,7,106,49,106,0,26.5,53,49,0,7,18.52025918,1532.362508,108.748307,10115.1,27822.2103,89091,79,94177,31392.33333,52369.7373,91853,177,99524,16587.33333,35641.78235,89091,79,0,0,0,0,80,164,39.5448389,69.20346808,0,106,12.91666667,32.52260286,1057.719697,0,1,0,0,0,0,0,0,1,14.09090909,26.5,7,0,0,0,0,0,0,4,106,7,49,-1,4356,1,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-38988-6,10.42.0.21,9999,10.42.0.105,38988,6,10/03/2025 20:28,136637,1,1,0,0,0,0,0,0,0,0,0,0,0,14.63732371,136637,0,136637,136637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.318661856,7.318661856,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,3630,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-52.70.227.26-56052-443-6,10.42.0.21,56052,52.70.227.26,443,6,10/03/2025 20:28,1011200,13,10,815,6862,547,0,62.69230769,153.8816562,1360,0,686.2,683.8493661,7591.969937,22.74525316,45963.63636,63025.33387,253753,15,911175,75931.25,83802.08704,253753,88,961979,106886.5556,148331.8158,461337,15,0,0,0,0,260,208,12.85601266,9.889240506,0,1360,319.875,543.6240159,295527.0707,0,1,0,0,0,0,0,0,0,333.7826087,62.69230769,686.2,0,0,0,0,0,0,13,815,10,6862,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-52.70.227.26-56052-443-6,52.70.227.26,443,10.42.0.21,56052,6,10/03/2025 20:28,60,1,1,0,0,0,0,0,0,0,0,0,0,0,33333.33333,60,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16666.66667,16666.66667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-33232-6,10.42.0.105,33232,10.42.0.21,9999,6,10/03/2025 20:28,49415,4,7,106,49,106,0,26.5,53,49,0,7,18.52025918,3136.699383,222.6044723,4941.5,13409.40039,42953,3,49115,16371.66667,26446.85194,46883,7,47738,7956.333333,17227.97962,42953,4,0,0,0,0,80,164,80.94708085,141.6573915,0,106,12.91666667,32.52260286,1057.719697,0,1,0,0,0,0,0,0,1,14.09090909,26.5,7,0,0,0,0,0,0,4,106,7,49,-1,4356,1,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-33232-6,10.42.0.21,9999,10.42.0.105,33232,6,10/03/2025 20:28,138114,1,1,0,0,0,0,0,0,0,0,0,0,0,14.48079123,138114,0,138114,138114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.240395615,7.240395615,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,3630,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-52.70.227.26-56053-443-6,10.42.0.21,56053,52.70.227.26,443,6,10/03/2025 20:28,1072003,13,10,814,6861,546,0,62.61538462,153.6194098,1360,0,686.1,683.7617275,7159.494889,21.45516384,48727.40909,64125.03265,255906,23,966538,80544.83333,83887.54577,255906,100,1019332,113259.1111,151104.7395,463508,23,0,0,0,0,260,208,12.12683173,9.328332104,0,1360,319.7916667,543.533446,295428.6069,0,1,0,0,0,0,0,0,0,333.6956522,62.61538462,686.1,0,0,0,0,0,0,13,814,10,6861,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-52.70.227.26-56053-443-6,52.70.227.26,443,10.42.0.21,56053,6,10/03/2025 20:28,46,1,1,0,0,0,0,0,0,0,0,0,0,0,43478.26087,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21739.13043,21739.13043,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-47494-6,10.42.0.105,47494,10.42.0.21,9999,6,10/03/2025 20:28,26801,4,7,93,83,93,0,23.25,46.5,83,0,11.85714286,31.37105126,6566.919145,410.4324466,2680.1,5572.386153,18359,4,26565,8855,12471.63915,23256,1641,25697,4282.833333,6993.288881,18359,106,0,0,0,0,80,164,149.2481624,261.1842842,0,93,14.66666667,34.32023875,1177.878788,0,1,0,0,0,0,0,0,1,16,23.25,11.85714286,0,0,0,0,0,0,4,93,7,83,-1,4356,1,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-47494-6,10.42.0.21,9999,10.42.0.105,47494,6,10/03/2025 20:28,144959,1,1,0,0,0,0,0,0,0,0,0,0,0,13.79700467,144959,0,144959,144959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6.898502335,6.898502335,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,3630,0,0,0,0,0,0,0,0,0,0,No Label
