"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"2","0.000043","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"3","1.009086","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"4","1.009115","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"5","2.015825","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"6","2.015896","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"7","3.029473","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"8","3.029508","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"9","4.043230","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"10","4.043264","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"11","5.067259","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"12","5.067314","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"13","5.828335","10.42.0.105","10.42.0.21","TCP","74","37314  >  9999 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=347535045 TSecr=0 WS=1024"
"14","5.828384","10.42.0.21","10.42.0.105","TCP","58","9999  >  37314 [SYN, ACK] Seq=0 Ack=1 Win=1452 Len=0 MSS=1452"
"15","5.830786","10.42.0.105","10.42.0.21","TCP","54","37314  >  9999 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"16","5.830901","10.42.0.105","10.42.0.21","TPLINK-SMARTHOME/JSON","160","TCP Cmd: {""context"":{""source"":""46a4d58b-6279-432c-ae23-e115c2db8354""},""system"":{""set_relay_state"":{""state"":0}}}"
"17","5.831433","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  37314 [ACK] Seq=1 Ack=1 Win=4356 Len=0"
"18","5.832164","10.42.0.21","10.42.0.105","TCP","54","9999  >  37314 [ACK] Seq=1 Ack=107 Win=3630 Len=0"
"19","5.854276","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  37314 [ACK] Seq=1 Ack=107 Win=4356 Len=0"
"20","5.855996","10.42.0.21","10.42.0.105","TPLINK-SMARTHOME/JSON","103","TCP Rsp: {""system"":{""set_relay_state"":{""err_code"":0}}}"
"21","5.857607","10.42.0.105","10.42.0.21","TCP","54","37314  >  9999 [ACK] Seq=107 Ack=50 Win=65535 Len=0"
"22","5.858180","10.42.0.21","10.42.0.105","TCP","54","[TCP Dup ACK 18#1] 9999  >  37314 [ACK] Seq=50 Ack=107 Win=4356 Len=0"
"23","5.859002","10.42.0.105","10.42.0.21","TCP","54","37314  >  9999 [FIN, ACK] Seq=107 Ack=50 Win=65535 Len=0"
"24","5.859538","10.42.0.21","10.42.0.105","TCP","54","9999  >  37314 [ACK] Seq=50 Ack=108 Win=3630 Len=0"
"25","5.911124","10.42.0.21","3.217.132.36","TCP","58","56461  >  443 [SYN] Seq=0 Win=1452 Len=0 MSS=1452"
"26","6.002009","10.42.0.21","10.42.0.105","TCP","54","9999  >  37314 [FIN, ACK] Seq=50 Ack=108 Win=2904 Len=0"
"27","6.002061","10.42.0.105","10.42.0.21","TCP","54","37314  >  9999 [ACK] Seq=108 Ack=51 Win=65535 Len=0"
"28","6.011594","3.217.132.36","10.42.0.21","TCP","58","443  >  56461 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1360"
"29","6.012250","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=1 Ack=1 Win=4080 Len=0"
"30","6.087373","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"31","6.087401","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"32","6.148215","10.42.0.21","3.217.132.36","TLSv1.2","196","Client Hello"
"33","6.241644","3.217.132.36","10.42.0.21","TLSv1.2","1414","Server Hello"
"34","6.242674","3.217.132.36","10.42.0.21","TCP","1414","443  >  56461 [ACK] Seq=1361 Ack=143 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"35","6.242783","3.217.132.36","10.42.0.21","TCP","1414","[TCP Window Full] 443  >  56461 [ACK] Seq=2721 Ack=143 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"36","6.246103","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=143 Ack=1361 Win=3400 Len=0"
"37","6.246392","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=143 Ack=2721 Win=3400 Len=0"
"38","6.246447","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=143 Ack=4081 Win=3400 Len=0"
"39","6.336415","3.217.132.36","10.42.0.21","TLSv1.2","1180","Certificate"
"40","6.336427","3.217.132.36","10.42.0.21","TLSv1.2","401","Server Key Exchange, Server Hello Done"
"41","6.451567","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=143 Ack=5207 Win=3400 Len=0"
"42","6.703338","10.42.0.21","3.217.132.36","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"43","6.703482","10.42.0.21","3.217.132.36","TCP","54","[TCP Dup ACK 42#1] 56461  >  443 [ACK] Seq=269 Ack=5554 Win=3400 Len=0"
"44","6.793686","3.217.132.36","10.42.0.21","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"45","6.800552","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=269 Ack=5605 Win=3400 Len=0"
"46","6.854829","10.42.0.21","3.217.132.36","TLSv1.2","601","Application Data"
"47","6.951354","3.217.132.36","10.42.0.21","TLSv1.2","1280","Application Data"
"48","6.951367","3.217.132.36","10.42.0.21","TLSv1.2","88","Application Data"
"49","6.961998","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=816 Ack=6831 Win=3400 Len=0"
"50","6.962517","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=816 Ack=6865 Win=3400 Len=0"
"51","7.006002","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [FIN, ACK] Seq=816 Ack=6865 Win=3400 Len=0"
"52","7.097389","3.217.132.36","10.42.0.21","TCP","54","443  >  56461 [ACK] Seq=6865 Ack=817 Win=65535 Len=0"
"53","7.097396","3.217.132.36","10.42.0.21","TCP","54","443  >  56461 [FIN, ACK] Seq=6865 Ack=817 Win=65535 Len=0"
"54","7.101157","10.42.0.21","3.217.132.36","TCP","54","56461  >  443 [ACK] Seq=817 Ack=6866 Win=3399 Len=0"
"55","7.102003","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"56","7.102032","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"57","8.128907","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"58","8.128942","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"59","8.808702","64.233.184.188","10.42.0.105","TLSv1.2","90","Application Data"
"60","8.991362","10.42.0.105","10.42.0.21","TCP","74","54746  >  9999 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=347538200 TSecr=0 WS=1024"
"61","8.991387","10.42.0.21","10.42.0.105","TCP","58","9999  >  54746 [SYN, ACK] Seq=0 Ack=1 Win=1452 Len=0 MSS=1452"
"62","8.991406","10.42.0.105","10.42.0.21","TCP","54","54746  >  9999 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"63","8.991670","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  54746 [ACK] Seq=1 Ack=1 Win=4356 Len=0"
"64","8.991824","10.42.0.105","10.42.0.21","TPLINK-SMARTHOME/JSON","160","TCP Cmd: {""context"":{""source"":""46a4d58b-6279-432c-ae23-e115c2db8354""},""system"":{""set_relay_state"":{""state"":1}}}"
"65","8.992672","10.42.0.21","10.42.0.105","TCP","54","9999  >  54746 [ACK] Seq=1 Ack=107 Win=3630 Len=0"
"66","9.023587","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  54746 [ACK] Seq=1 Ack=107 Win=4356 Len=0"
"67","9.025652","10.42.0.21","10.42.0.105","TPLINK-SMARTHOME/JSON","103","TCP Rsp: {""system"":{""set_relay_state"":{""err_code"":0}}}"
"68","9.029401","10.42.0.105","10.42.0.21","TCP","54","54746  >  9999 [ACK] Seq=107 Ack=50 Win=65535 Len=0"
"69","9.029492","10.42.0.105","10.42.0.21","TCP","54","54746  >  9999 [FIN, ACK] Seq=107 Ack=50 Win=65535 Len=0"
"70","9.030678","10.42.0.21","10.42.0.105","TCP","54","[TCP Dup ACK 65#1] 9999  >  54746 [ACK] Seq=50 Ack=107 Win=4356 Len=0"
"71","9.031158","10.42.0.21","10.42.0.105","TCP","54","9999  >  54746 [ACK] Seq=50 Ack=108 Win=3630 Len=0"
"72","9.037446","64.233.184.188","10.42.0.105","TCP","90","[TCP Retransmission] 5228  >  46974 [PSH, ACK] Seq=1 Ack=1 Win=1050 Len=24 TSval=3504819902 TSecr=3433601354"
"73","9.041918","10.42.0.105","64.233.184.188","TCP","66","46974  >  5228 [ACK] Seq=1 Ack=25 Win=81 Len=0 TSval=3433631675 TSecr=3504819902"
"74","9.076322","10.42.0.105","64.233.184.188","TLSv1.2","94","Application Data"
"75","9.092360","64.233.184.188","10.42.0.105","TCP","66","5228  >  46974 [ACK] Seq=25 Ack=29 Win=1050 Len=0 TSval=3504819957 TSecr=3433631707"
"76","9.106825","10.42.0.21","3.217.132.36","TCP","58","56462  >  443 [SYN] Seq=0 Win=1452 Len=0 MSS=1452"
"77","9.152887","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"78","9.152914","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"79","9.169344","10.42.0.21","10.42.0.105","TCP","54","9999  >  54746 [FIN, ACK] Seq=50 Ack=108 Win=2904 Len=0"
"80","9.173997","10.42.0.105","10.42.0.21","TCP","54","54746  >  9999 [ACK] Seq=108 Ack=51 Win=65535 Len=0"
"81","9.199894","3.217.132.36","10.42.0.21","TCP","58","443  >  56462 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1360"
"82","9.200513","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=1 Ack=1 Win=4080 Len=0"
"83","9.317388","10.42.0.21","3.217.132.36","TLSv1.2","196","Client Hello"
"84","9.411680","3.217.132.36","10.42.0.21","TLSv1.2","1414","Server Hello"
"85","9.411784","3.217.132.36","10.42.0.21","TCP","1414","443  >  56462 [ACK] Seq=1361 Ack=143 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"86","9.411891","3.217.132.36","10.42.0.21","TCP","1414","[TCP Window Full] 443  >  56462 [ACK] Seq=2721 Ack=143 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"87","9.415910","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=143 Ack=1361 Win=3400 Len=0"
"88","9.416122","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=143 Ack=2721 Win=3400 Len=0"
"89","9.416377","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=143 Ack=4081 Win=3400 Len=0"
"90","9.479194","10.42.0.105","224.0.0.251","MDNS","471","Standard query response 0x0000 PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local AAAA, cache flush fe80::341e:55ff:fe77:cc8a PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local A, cache flush 10.42.0.105 PTR 1Muhammad's A55E23B27FF._samsungflowauth._tcp.local SRV, cache flush 0 0 34895 Android_aa22d63ceebf436a968827fd2b8ea579.local TXT, cache flush PTR _samsungflowauth._tcp.local NSEC, cache flush A.8.C.C.7.7.E.F.F.F.5.5.E.1.4.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local NSEC, cache flush 105.0.42.10.in-addr.arpa NSEC, cache flush 1Muhammad's A55E23B27FF._samsungflowauth._tcp.local"
"91","9.485910","fe80::341e:55ff:fe77:cc8a","ff02::fb","MDNS","491","Standard query response 0x0000 PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local AAAA, cache flush fe80::341e:55ff:fe77:cc8a PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local A, cache flush 10.42.0.105 PTR 1Muhammad's A55E23B27FF._samsungflowauth._tcp.local SRV, cache flush 0 0 34895 Android_aa22d63ceebf436a968827fd2b8ea579.local TXT, cache flush PTR _samsungflowauth._tcp.local NSEC, cache flush A.8.C.C.7.7.E.F.F.F.5.5.E.1.4.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local NSEC, cache flush 105.0.42.10.in-addr.arpa NSEC, cache flush 1Muhammad's A55E23B27FF._samsungflowauth._tcp.local"
