Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.105-99.80.98.228-51092-443-6,10.42.0.105,51092,99.80.98.228,443,6,07/08/2025 11:16:22 AM,3213905,9,7,625.0,3088.0,311.0,0.0,69.44444444444444,122.43070602499105,1348.0,0.0,441.14285714285717,553.7344214727937,1155.292393521277,4.978367437743182,214260.33333333334,764322.2558353499,2976459.0,13.0,3173806.0,396725.75,1042732.4122234606,2976459.0,1030.0,185688.0,30948.0,25954.412773168264,57724.0,13.0,0,0,0,0,288,240,2.8003316837305396,2.178035754012642,0.0,1348.0,218.41176470588232,399.55710774924427,159645.88235294117,0,1,0,0,0,0,0,0,0.0,232.0625,69.44444444444444,441.14285714285717,0,0,0,0,0,0,9,625,7,3088,-1,486,3,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-51092-443-6,99.80.98.228,443,10.42.0.105,51092,6,07/08/2025 11:16:25 AM,36,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,666666.6666666666,55555.555555555555,36.0,0.0,36.0,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,27777.777777777777,27777.777777777777,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,486,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-74.125.71.139-52520-443-6,74.125.71.139,443,10.42.0.105,52520,6,07/08/2025 11:17:14 AM,5000202,5,2,275.0,73.0,73.0,0.0,55.0,31.614869919074472,73.0,0.0,36.5,51.61879502661797,69.59718827359374,1.3999434422849317,833367.0,1419785.0151368692,3690354.0,32.0,4676324.0,1169081.0,1713673.8753561017,3708778.0,32.0,1309816.0,1309816.0,0.0,1309816.0,1309816.0,0,1,0,0,160,64,0.9999596016320941,0.39998384065283765,0.0,73.0,52.625,33.00622235709071,1089.4107142857142,0,0,0,1,1,0,0,0,0.0,60.142857142857146,55.0,36.5,0,0,0,0,0,0,5,275,2,73,-1,81,4,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-37128-443-6,10.42.0.105,37128,99.80.98.228,443,6,07/08/2025 11:17:26 AM,3214340,9,7,656.0,3087.0,342.0,0.0,72.88888888888889,130.26170239602703,1348.0,0.0,441.0,553.5551764127342,1164.4692222975789,4.977693710061786,214289.33333333334,764716.2621292635,2977725.0,8.0,3163563.0,395445.375,1043830.0546995101,2977725.0,716.0,179972.0,29995.333333333332,23860.653735106815,50371.0,8.0,0,0,0,0,288,240,2.7999527119097545,2.1777409981520313,0.0,1348.0,220.17647058823536,399.9489397557702,159959.1544117647,0,1,0,0,0,0,0,0,0.0,233.9375,72.88888888888889,441.0,0,0,0,0,0,0,9,656,7,3087,-1,486,3,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-37128-443-6,99.80.98.228,443,10.42.0.105,37128,6,07/08/2025 11:17:30 AM,11,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,2181818.1818181816,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,90909.09090909091,90909.09090909091,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,486,0,0,0,0,0,0,0,0,0,0,No Label
216.239.34.223-10.42.0.105-80-44788-6,10.42.0.105,44788,216.239.34.223,80,6,07/08/2025 11:18:08 AM,30578,2,5,217.0,146.0,217.0,0.0,108.5,153.4421715174808,146.0,0.0,29.2,65.29318494299386,11871.28000523252,228.9227549218392,5096.333333333334,6111.707868236723,13103.0,4.0,2995.0,2995.0,0.0,2995.0,2995.0,30578.0,7644.499999999999,8996.698005379529,17461.0,4.0,0,0,0,0,64,176,65.40650140623978,163.51625351559946,0.0,217.0,45.375,86.13434274434326,7419.124999999999,0,1,0,0,0,0,0,0,2.0,51.857142857142854,108.5,29.2,0,0,0,0,0,0,2,217,5,146,-1,1050,1,0,0,0,0,0,0,0,0,0,No Label
216.239.34.223-10.42.0.105-80-44788-6,10.42.0.105,44788,216.239.34.223,80,6,07/08/2025 11:18:08 AM,1622,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0456226880394,1622.0,0.0,1622.0,1622.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,616.5228113440197,616.5228113440197,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,66,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-64.233.184.94-33970-80-6,10.42.0.105,33970,64.233.184.94,80,6,07/08/2025 11:18:08 AM,29519,2,5,227.0,146.0,227.0,0.0,113.5,160.51323932934628,146.0,0.0,29.2,65.29318494299386,12635.929401402487,237.13540431586435,4919.833333333333,6364.385639373738,13450.0,3.0,1808.0,1808.0,0.0,1808.0,1808.0,29519.0,7379.750000000001,8581.981098984857,16059.0,3.0,0,0,0,0,64,176,67.75297266167553,169.38243165418882,0.0,227.0,46.62499999999999,89.0055174854747,7921.982142857142,0,1,0,0,0,0,0,0,2.0,53.285714285714285,113.5,29.2,0,0,0,0,0,0,2,227,5,146,-1,1050,1,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-64.233.184.94-33970-80-6,10.42.0.105,33970,64.233.184.94,80,6,07/08/2025 11:18:08 AM,122,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16393.44262295082,122.0,0.0,122.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8196.72131147541,8196.72131147541,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,66,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-74.125.71.106-58734-443-6,10.42.0.105,58734,74.125.71.106,443,6,07/08/2025 11:18:08 AM,74974,5,8,861.0,1007.0,563.0,0.0,172.2,238.51456978557934,789.0,0.0,125.875,278.5905533728153,24915.303972043643,173.3934430602609,6247.833333333333,6104.453498483834,17092.0,6.0,47879.0,11969.75,7948.389538139157,19030.0,2954.0,74974.0,10710.571428571428,10370.758905967985,23776.0,6.0,0,0,0,0,160,272,66.68978579240803,106.70365726785286,0.0,789.0,133.42857142857144,247.54508968786158,61278.571428571435,0,1,0,0,0,0,0,0,1.0,143.69230769230768,172.2,125.875,0,0,0,0,0,0,5,861,8,1007,-1,1048,3,0,0,0,0,0,0,0,0,0,No Label
