Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Fwd Pkt Len Mean,Bwd Pkt Len Mean,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,Down/Up Ratio,Pkt Size Avg,Pkt Len Std,Fwd Seg Size Avg,Bwd Seg Size Avg
3213905,9,7,69.44444444444444,441.1428571428572,214260.3333333333,764322.2558353499,396725.75,30948.0,0.0,232.0625,399.55710774924427,69.44444444444444,441.1428571428572
36,1,1,0.0,24.0,36.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
5000202,5,2,55.0,36.5,833367.0,1419785.0151368692,1169081.0,1309816.0,0.0,60.142857142857146,33.00622235709071,55.0,36.5
3214340,9,7,72.88888888888889,441.0,214289.3333333333,764716.2621292635,395445.375,29995.33333333333,0.0,233.9375,399.9489397557702,72.88888888888889,441.0
11,1,1,0.0,24.0,11.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
30578,2,5,108.5,29.2,5096.333333333334,6111.707868236723,2995.0,7644.499999999999,2.0,51.85714285714285,86.13434274434326,108.5,29.2
1622,1,1,0.0,0.0,1622.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29519,2,5,113.5,29.2,4919.833333333333,6364.385639373738,1808.0,7379.750000000001,2.0,53.285714285714285,89.0055174854747,113.5,29.2
122,1,1,0.0,0.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74974,5,8,172.2,125.875,6247.833333333333,6104.453498483834,11969.75,10710.571428571428,1.0,143.69230769230768,247.5450896878616,172.2,125.875
125,0,4,0.0,6.0,41.66666666666666,24.090108620206205,0.0,41.66666666666666,0.0,6.0,10.73312629199899,0.0,6.0
212993,12,19,222.16666666666663,392.2631578947368,7099.766666666668,9820.994140574334,14235.818181818184,11832.944444444443,1.0,326.4193548387097,501.356658469732,222.16666666666663,392.2631578947368
8407,2,1,12.0,0.0,4203.5,4390.426004387274,1099.0,0.0,0.0,8.0,12.0,12.0,0.0
118473854,25,1,165.04,142.0,4738954.16,773048.7477171518,4791708.708333334,0.0,0.0,169.6153846153846,7.686151382644184,165.04,142.0
116861039,15,5,61.6,66.6,6150581.0,7456041.189153166,8329838.857142856,17144231.5,0.0,66.45,18.08906536320453,61.6,66.6
107262965,10,1,0.0,0.0,10726296.499999998,11971056.877108658,11804775.333333334,0.0,0.0,0.0,0.0,0.0,0.0
112417374,14,20,201.6428571428571,80.15,3406587.0909090918,8052015.568332722,8643861.076923076,5916703.894736841,1.0,169.8235294117647,387.9037544147719,201.64285714285717,80.15
109051244,9,10,32.111111111111114,55.10000000000001,6058402.444444446,13501158.710184734,13231286.0,12088559.111111112,1.0,54.526315789473685,73.1513211738085,32.111111111111114,55.1
3168340,9,7,72.88888888888889,441.1428571428572,211222.6666666667,759567.2694748793,391074.25,25966.166666666664,0.0,234.0,400.0764816587831,72.88888888888889,441.1428571428572
22,1,1,0.0,24.0,22.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3172130,9,7,72.88888888888889,441.1428571428572,211475.3333333333,761145.6234661451,391138.25,25578.5,0.0,234.0,400.0764816587831,72.88888888888889,441.1428571428572
7,1,1,0.0,24.0,7.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3168848,9,7,72.77777777777777,441.1428571428572,211256.53333333333,762119.9690036495,391384.25,24556.166666666668,0.0,233.9375,400.0575326272019,72.77777777777777,441.1428571428572
22,1,1,0.0,24.0,22.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
115003250,26,1,161.8076923076923,166.0,4423201.923076923,1312464.816068421,4400123.72,0.0,0.0,168.11111111111111,9.08535364163943,161.80769230769232,166.0
100416894,18,21,405.6666666666667,12.142857142857142,2642549.8421052624,7098570.259511512,5904501.529411765,5020844.7,1.0,194.48717948717947,412.5369097706009,405.6666666666667,12.142857142857142
114189253,9,1,0.0,0.0,12687694.777777778,8488653.772553569,12544550.375,0.0,0.0,0.0,0.0,0.0,0.0
114994530,22,4,56.409090909090914,57.75,4599781.2,2676705.784063174,4999497.952380952,19468302.33333333,0.0,58.69230769230769,5.686491214816244,56.40909090909091,57.75
116902178,11,12,57.90909090909091,43.0,5313735.363636362,12424554.496129556,11675371.0,10617614.0,1.0,51.47826086956522,69.10462557139225,57.90909090909091,43.0
25,1,1,212.0,221.0,25.0,0.0,0.0,0.0,1.0,327.0,5.196152422706632,212.0,221.0
35541,1,2,0.0,60.0,17770.5,19427.758813100398,0.0,31508.0,2.0,61.0,30.63086678499321,0.0,60.0
857398,3,2,16.0,26.0,214349.5,188572.5861686511,309381.5,839893.0,0.0,24.8,10.250203250017371,16.0,26.0
115002757,25,1,163.08,165.0,4600110.280000001,1014221.5465748234,4583429.208333333,0.0,0.0,169.5,6.4051261522034855,163.08,165.0
3165576,9,7,69.33333333333333,441.2857142857143,211038.4,759010.4005889887,390613.125,26018.833333333336,0.0,232.0625,399.6708112346224,69.33333333333333,441.2857142857143
11,1,1,0.0,24.0,11.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3194030,9,7,69.33333333333333,441.1428571428572,212935.3333333333,762413.3747062366,393415.125,28883.0,0.0,232.0,399.54269815259903,69.33333333333333,441.1428571428572
12,1,1,0.0,24.0,12.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3684758,9,9,69.33333333333333,464.3333333333333,216750.4705882353,713165.7859182461,455693.25,83558.375,1.0,266.8333333333333,390.6300578619919,69.33333333333333,464.3333333333333
14,1,1,0.0,24.0,14.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3181577,9,7,69.33333333333333,441.1428571428572,212105.1333333333,757754.7496466939,391698.375,28032.833333333336,0.0,232.0,399.54269815259903,69.33333333333333,441.1428571428572
8,1,1,0.0,24.0,8.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3437067,9,8,69.33333333333333,454.25,214816.6875,735875.8370273905,425098.625,60387.42857142857,0.0,250.4705882352941,395.3049786478673,69.33333333333333,454.25
10,1,1,0.0,24.0,10.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3169446,9,7,69.33333333333333,441.1428571428572,211296.4,761531.7731182893,391427.0,26311.0,0.0,232.0,399.54269815259903,69.33333333333333,441.1428571428572
